?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
-0.15176,1.29466,3.375,0.17014,4.25979,
0.9124,1.54966,0.19676,-0.10891,4.09122,
0.16745,1.45716,0.96434,0.91904,3.99,
-0.16096,1.32476,0.72834,-0.34683,4.14231,
3.99009,1.32395,1.49211,-0.18931,4.08182,
-0.06073,1.76015,1.04268,0.24309,4.09477,
0.77671,3.48096,1.55429,0.73881,4.12221,
-0.0639,2.30329,0.13995,-0.01585,4.33745,
0.78852,0.44017,0.35472,0.49109,,
3.89903,1.45202,1.39249,0.06985,,
4.08689,1.10813,3.47507,0.33324,,
1.64355,0.59278,1.04493,1.04658,,
0.1145,1.09359,1.54682,0.70001,,
-0.15729,1.08839,1.47601,-0.18949,,
0.67459,0.78163,1.1158,-0.20325,,
1.10614,0.76113,1.10075,0.09179,,
3.99136,0.83142,1.60776,-0.4462,,
0.07808,0.5776,1.10244,-0.18478,,
0.62614,0.70779,1.10658,-0.13637,,
0.11146,0.96434,1.00563,0.34456,,
-0.04865,0.72834,1.6769,0.33889,,
-0.1395,0.74696,1.04066,0.2899,,
-0.39543,0.54042,1.09795,0.63385,,
-0.43246,1.49211,1.07172,0.27403,,
0.39277,0.832,1.95543,0.41691,,
0.59309,0.74299,1.12336,0.24088,,
0.74522,3.47507,1.05232,-0.35463,,
-0.25802,1.23839,1.68194,-0.35478,,
-0.42819,1.6913,1.0515,0.48044,,
-0.42504,1.15445,1.92127,1.25377,,
3.90398,1.10658,2.10787,0.24525,,
3.72779,1.6769,1.07476,0.56486,,
1.28862,0.94004,1.11909,1.25126,,
4.06181,1.04066,1.2812,-0.42455,,
1.33374,1.09795,1.9493,0.34434,,
1.32448,1.22101,0.9972,0.67258,,
1.00968,1.95543,3.63961,-0.34895,,
3.6805,1.12336,3.75742,0.78507,,
1.67661,1.68194,3.62941,0.83812,,
4.02346,1.17332,3.22588,1.2638,,
1.13843,1.92127,3.66462,0.02768,,
1.47011,2.10787,,0.02011,,
3.94267,1.07476,,-0.15647,,
1.42102,1.11909,,0.13435,,
1.03807,1.9493,,0.35468,,
1.05496,0.9972,,1.00283,,
1.03923,0.94109,,0.82381,,
0.86279,3.7453,,0.61204,,
3.6763,3.71256,,-0.544,,
3.92374,3.81263,,0.16855,,
0.5266,3.77673,,0.0811,,
0.69713,3.73786,,0.0282,,
1.17052,3.74209,,0.49962,,
0.89937,3.8606,,0.14615,,
3.64676,3.66896,,1.19655,,
0.52967,3.72356,,0.03711,,
3.92557,3.40624,,0.08139,,
1.51166,3.40556,,-0.54403,,
1.17098,3.20819,,0.01788,,
0.36845,3.70394,,1.19129,,
0.85876,3.86226,,0.35485,,
0.85966,,,0.71946,,
0.57536,,,-0.21321,,
3.77072,,,-0.20945,,
4.15184,,,0.92932,,
1.51104,,,0.85978,,
0.52633,,,0.02972,,
1.02894,,,-0.17026,,
0.41613,,,0.35657,,
0.82021,,,1.30434,,
0.97168,,,0.02473,,
3.71256,,,-0.13593,,
1.0055,,,0.09456,,
3.7002,,,-0.30514,,
0.3679,,,0.6232,,
1.16708,,,0.61446,,
1.13579,,,-0.03481,,
1.64004,,,1.02958,,
3.86009,,,0.86743,,
3.81263,,,1.0285,,
