?G(O),?G(O-Ru),?G(O-Rh),?G(O-Pd),?G(O-Ir),?G(O-Pt)
0.4951,0.54109,0.12548,0.31507,1.32582,0.84061
0.89023,0.43899,1.14989,0.35939,1.04566,0.84501
0.82347,0.43575,0.58495,1.89624,0.63396,1.25021
1.86969,0.7822,1.453,1.11444,0.57983,0.58636
0.82846,0.44544,0.11956,0.8198,1.30978,1.1797
0.25244,0.66258,0.27135,0.77997,0.29764,1.89624
0.95671,1.0881,0.42652,1.86186,0.92369,0.865
0.26451,1.00323,0.54109,0.8564,0.96883,1.32582
0.99424,0.54755,0.36825,0.57983,0.91701,0.77997
0.51487,1.098,0.43899,0.76281,0.30319,1.04566
0.51055,0.54688,0.93665,0.29764,0.91401,0.63396
0.9084,0.89622,1.15414,1.58381,1.12414,1.83756
0.18696,0.43132,1.16012,0.79385,1.13675,1.48877
0.18712,0.82363,0.43575,0.7644,0.93519,1.30978
0.25749,0.6697,0.7822,0.96883,0.75076,0.92369
0.79648,0.3804,0.44544,1.49395,0.75137,1.07261
1.1119,0.50367,0.87145,1.33952,1.12388,1.58381
1.65982,0.0025,0.66258,0.30319,1.33261,1.19956
1.80217,0.27184,0.9427,1.20518,1.16846,1.55882
0.91885,0.18112,1.00323,1.4613,1.26025,1.93749
-0.05722,0.41349,1.55729,1.56431,0.81316,0.93513
0.2464,-0.03146,0.98349,0.61596,0.88753,1.49395
1.38647,0.88008,0.93843,1.04248,0.7729,0.91701
0.93141,-0.03626,1.098,0.75076,0.23221,1.33952
1.64656,0.75521,0.822,0.75137,0.83016,1.49114
0.7195,0.19994,1.52013,1.72449,0.40575,1.69372
-0.05488,-0.08218,1.66265,1.74662,0.34658,1.5172
0.7147,0.12949,1.51315,1.33261,1.13475,0.77682
1.08596,0.13947,0.43132,0.65758,0.92593,1.07209
0.71993,-0.14463,0.82363,0.59668,0.46301,0.91401
0.42743,0.19004,0.86379,1.16846,0.3727,1.12414
1.59823,0.39039,0.0025,1.40794,0.44611,1.13675
1.53954,-0.37696,0.27184,0.81316,1.18381,0.93519
0.93214,0.54554,0.41349,2.05461,0.56377,1.72449
0.49771,0.20327,-0.03146,0.83016,0.61897,1.77843
0.71681,0.70834,0.88008,1.28016,0.61591,1.12388
1.36946,0.22092,-0.03626,1.78975,0.51924,0.671
1.04264,0.12789,0.75521,0.41433,0.568,1.16846
1.54237,0.32045,0.19994,0.2595,0.13814,1.26025
1.66853,-0.15698,-0.08218,0.46301,0.8412,1.40794
0.80112,0.24576,1.17594,1.54575,1.64054,2.05461
1.06517,-0.03301,0.13947,0.44611,0.91593,0.6784
0.24862,0.4538,-0.14463,0.25375,0.1441,0.88753
0.7105,-0.06738,0.19004,0.61897,0.805,0.72937
0.24285,-0.19136,0.86052,1.11586,0.54613,0.56924
0.96999,-0.19379,0.54554,1.84752,0.26253,1.35166
1.03332,0.97469,0.61435,0.27525,1.64613,0.56987
1.11924,0.6394,0.20327,0.27288,1.13095,1.13475
1.51905,0.59456,0.70834,2.1744,0.98266,0.92593
1.66059,0.53291,0.22092,0.805,0.26502,1.18381
2.2851,0.47653,0.12789,0.54613,1.27103,1.84752
0.53583,1.11837,0.32045,1.69627,0.25794,0.51728
0.61119,1.29255,-0.15698,1.13095,1.50372,2.1744
0.95699,0.47309,-0.03301,1.27103,0.54777,0.8412
0.91792,0.598,0.4538,1.44733,1.2679,1.64054
0.47646,-0.18726,-0.06738,0.54777,1.12665,0.91593
0.50731,-0.18519,1.3621,1.2679,1.56073,1.69627
0.97942,0.81182,0.72794,1.12665,0.55062,1.26889
0.4899,-0.00509,0.6394,0.55062,0.1419,1.64613
1.49882,-0.00583,1.69712,1.00593,0.83772,0.98266
1.07374,0.1897,0.73003,1.33315,0.26496,1.27103
0.97633,0.19649,1.6705,1.58407,0.49348,1.44733
0.62575,0.58129,0.47653,0.77105,0.76501,1.50372
1.49314,1.00119,0.72857,0.76501,0.80355,1.2679
1.22243,-0.00157,1.69829,1.52039,0.37466,1.56073
0.50188,-0.00765,0.98233,0.96964,1.35678,0.83772
0.48757,0.20141,0.74196,1.65343,0.79047,1.00593
1.13201,1.30069,0.47309,1.39215,0.374,1.33315
1.51376,0.81277,1.16712,1.98959,0.50018,1.58407
1.33356,0.24583,0.81182,0.89295,0.88976,0.69403
1.57911,0.182,1.44741,0.76957,0.89295,1.35678
1.62258,0.11938,1.29263,1.32668,0.50575,1.98959
0.53319,0.75572,-0.00509,1.44981,0.76957,1.80876
1.21821,0.16173,-0.00583,1.45968,0.39367,0.99595
0.85859,0.15671,0.1897,0.97842,1.45968,1.45968
0.47829,0.11228,1.25099,1.50622,1.2359,1.2359
0.92912,0.31528,1.16347,1.59441,0.80347,0.80347
0.53263,0.06789,0.58444,-0.00299,0.12989,1.45234
1.10864,0.75972,1.19449,0.97707,0.67186,1.50622
0.69246,0.47943,0.19649,0.81485,1.07444,0.76522
1.70889,0.74369,0.58129,2.05043,0.6337,0.42618
1.98527,0.75995,1.04036,-0.00146,0.12956,1.59441
1.86237,0.48608,-0.00157,1.1686,0.41021,1.23797
0.6712,0.61726,0.5911,0.96061,0.97842,2.05043
0.08786,0.74992,-0.00765,1.24815,1.50622,0.80394
1.04106,0.9473,0.59024,1.51536,0.76522,0.84896
1.17807,1.13362,1.2279,0.78845,1.59441,0.52682
0.38865,0.71374,0.20141,0.86699,0.51757,1.1686
1.34323,0.92691,0.97988,0.67207,0.08764,0.53228
0.49498,0.70758,1.40769,2.87597,1.23797,0.36329
