?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
0.55251,0.22986,0.81051,,0.51549,
0.15523,0.30535,0.11315,,0.57592,
0.32669,0.20409,0.51371,,0.49609,
0.15493,0.22986,0.11294,,0.66034,
0.55956,-0.10918,0.12172,,0.55384,
0.14739,0.14098,0.83291,,0.63373,
0.18287,-0.02983,0.38839,,0.55171,
0.17606,-0.11587,0.78214,,0.67115,
0.26394,0.06356,0.30307,,0.68052,
0.15256,0.06286,0.14025,,0.3648,
0.15926,0.18813,0.32928,,0.33939,
0.58973,0.4876,0.23412,,0.82554,
0.2841,0.2872,0.46225,,0.88977,
0.17293,0.50546,0.23147,,0.42389,
0.2565,0.28906,0.08971,,0.49804,
0.79313,0.2353,0.2319,,0.53056,
0.78905,0.3637,0.52708,,0.39728,
0.5271,0.1147,0.45613,,0.2491,
0.36503,0.06404,0.8195,,0.42443,
0.1338,0.23848,0.2646,,0.28712,
0.26252,0.2037,0.69304,,0.42396,
0.33939,0.2366,0.48339,,0.70896,
0.78524,0.11678,0.7845,,0.24748,
0.25752,0.07239,0.41599,,0.4315,
0.95438,0.05429,0.65374,,0.23329,
0.9922,0.2079,0.94114,,0.23478,
0.50468,0.17549,0.78969,,0.50365,
0.65834,0.07226,0.03183,,0.24991,
0.28977,0.15636,0.06532,,0.23547,
0.55573,0.02529,0.44991,,0.37954,
0.39084,0.20989,0.41693,,0.2474,
0.11777,0.38433,0.64865,,0.36665,
0.13731,0.25136,0.35245,,0.18609,
0.16922,0.20836,0.67177,,0.43772,
0.35876,0.3836,0.73542,,0.18881,
0.13186,0.08094,0.81594,,0.19428,
0.2335,0.0642,0.72313,,0.63403,
0.35646,0.19909,0.51983,,0.14416,
0.53836,0.18662,0.11593,,0.61476,
1.10395,0.24345,0.66918,,0.53969,
0.12319,0.15876,0.16449,,0.2926,
0.6247,0.15826,0.57595,,0.17106,
0.15363,0.336,0.20071,,0.16951,
1.08691,0.22256,0.31178,,0.19177,
0.136,0.24061,0.17833,,0.15491,
0.96435,0.21635,0.31921,,0.52163,
0.93702,0.11315,0.26867,,0.15941,
0.36594,0.11294,0.19498,,0.14094,
0.16076,0.12172,0.19887,,0.2933,
0.20476,0.30307,0.21897,,0.17269,
0.33295,0.12262,0.32067,,0.19265,
0.99234,0.35071,0.68554,,0.30648,
0.17896,0.19721,0.20136,,0.16534,
0.06565,0.33936,0.17933,,0.16566,
0.31363,0.14025,0.57852,,0.06847,
0.82554,0.45166,0.30572,,0.11565,
0.53059,0.4489,0.62297,,0.06075,
0.67487,0.09257,0.34013,,0.40466,
0.17827,0.09022,0.07818,,0.05993,
0.07607,0.13653,0.31045,,0.16211,
0.71523,0.09578,0.1324,,0.16881,
0.83618,0.32928,0.40012,,0.11808,
0.19428,0.27234,0.03918,,0.0711,
0.05899,0.23412,0.04549,,0.77285,
0.83137,0.22723,0.14584,,0.64461,
0.83895,0.55314,0.31622,,0.387,
0.71035,0.27359,0.18187,,0.56735,
0.12297,0.23147,0.3284,,0.38047,
