?G(OH),?G(OH-Ni),?G(OH-Co),?G(OH-Fe),?G(OH-Pd),?G(OH-Pt)
0.45541,0.29271,-0.12425,-0.13451,,
0.44592,-0.16655,-0.3561,-0.25202,,
0.48182,0.02075,0.15682,-0.13781,,
0.49372,-0.16696,-0.05403,-0.45755,,
0.21112,0.22083,-0.05426,-0.45629,,
0.15266,0.21352,0.18563,-0.28774,,
0.16827,0.62238,-0.12316,-0.2527,,
0.17866,0.77383,0.15471,-0.45808,,
0.27531,0.2156,-0.1216,-0.45856,,
-0.03328,0.22808,-0.36111,-0.45869,,
0.22385,0.34766,-0.12342,0.037,,
0.16157,0.34112,0.18516,0.2085,,
0.75155,0.21123,0.18533,-0.13771,,
0.57121,0.34926,-0.05467,0.25274,,
0.95092,0.21912,-0.05696,0.25255,,
-0.1021,0.4356,0.15706,0.03424,,
0.16222,0.35253,-0.05605,-0.05558,,
-0.10211,0.72493,-0.36152,0.20534,,
-0.0337,0.74894,-0.35936,0.20324,,
-0.10317,,-0.36242,0.26367,,
0.32899,,-0.20128,-0.05568,,
0.31156,,-0.12401,-0.14127,,
0.40417,,0.15617,-0.13974,,
0.21331,,0.07604,0.03921,,
0.85519,,0.0594,-0.05811,,
